,Country,Population,Income_Group,WHO_Region,Democracy_score,Female_labour_force,Inequality_index,Pop_median_age,Pop_below_pov_line,Life_exp_all,Life_exp_male,Life_exp_female,Maternal_mort,Literacy_rate_adult_female,Literacy_rate_adult_male,Literacy_rate_adult_total,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total,females_primary_school,males_primary_school
68,Greece,11183393.0,High,EUR,10.0,40.86,34.27,40.0,,80.0,77.0,82.0,3.0,94.24,97.81,95.99,98.99,98.89,98.94,99.0,100.0
69,Grenada,104342.0,Middle,AMR,,,,23.0,,68.0,66.0,70.0,,,,,,,,83.0,84.0
70,Guatemala,14376881.0,Middle,AMR,8.0,31.24,49.39,18.0,13.5,68.0,65.0,71.0,290.0,63.34,75.42,69.1,78.39,86.38,82.22,92.0,96.0
71,Guinea,10323755.0,Low,AFR,-1.0,46.57,38.6,18.0,,53.0,51.0,55.0,910.0,18.11,42.56,29.48,33.73,58.7,46.55,66.0,77.0
72,Guinea-Bissau,1647380.0,Low,AFR,6.0,40.85,47.05,16.0,,48.0,46.0,51.0,1100.0,,,,,,,37.0,53.0
73,Guyana,761442.0,Middle,AMR,6.0,36.86,43.2,27.0,,64.0,63.0,66.0,470.0,,,,,,,89.0,89.0
74,Haiti,10188175.0,Low,AMR,5.0,41.72,59.21,21.0,53.9,61.0,59.0,63.0,670.0,,,,,,,22.0,21.0
75,Honduras,7615584.0,Middle,AMR,7.0,37.72,53.84,20.0,14.9,70.0,67.0,73.0,280.0,80.22,79.79,80.01,90.91,86.89,88.94,97.0,96.0
76,"Hong Kong, China",,,,,46.59,43.44,,,,,,,,,,,,,,
77,Hungary,9973141.0,High,EUR,10.0,45.13,30.06,39.0,2.0,73.0,69.0,78.0,6.0,,,,,,,88.0,89.0
78,Iceland,329279.0,High,EUR,,46.64,,35.0,,81.0,79.0,83.0,4.0,,,,,,,97.0,98.0
79,India,1214464312.0,Middle,SEAR,9.0,28.35,36.8,24.0,34.3,63.0,62.0,64.0,450.0,47.84,73.41,61.01,67.75,84.19,76.43,87.0,90.0
80,Indonesia,232516771.0,Middle,SEAR,8.0,37.94,39.41,27.0,7.5,68.0,66.0,69.0,420.0,86.8,94.04,90.38,98.54,98.87,98.71,94.0,97.0
81,Iran (Islamic Republic of),75077547.0,Middle,EMR,-6.0,,38.35,24.0,,71.0,69.0,73.0,140.0,76.8,88.01,82.44,96.74,98.11,97.43,100.0,91.0
82,Iraq,31466698.0,Middle,EMR,-9.0,18.99,,19.0,,56.0,48.0,67.0,300.0,64.17,84.09,74.05,80.49,88.91,84.8,82.0,95.0
83,Ireland,4589002.0,High,EUR,10.0,42.97,34.28,34.0,,80.0,77.0,82.0,1.0,,,,,,,95.0,94.0
84,Israel,7285033.0,High,EUR,10.0,47.04,39.2,29.0,,81.0,79.0,82.0,4.0,,,,,,,97.0,96.0
85,Italy,60097564.0,High,EUR,10.0,40.05,36.03,42.0,,81.0,78.0,84.0,3.0,98.04,98.82,98.42,99.82,99.8,99.81,98.0,99.0
86,Jamaica,2729909.0,Middle,AMR,9.0,43.59,45.51,25.0,2.0,72.0,69.0,75.0,170.0,85.9,74.1,79.9,,,,90.0,90.0
87,Japan,126995411.0,High,WPR,10.0,41.08,24.85,43.0,,83.0,79.0,86.0,6.0,,,,,,,100.0,100.0
88,Jordan,6472392.0,Middle,EMR,-2.0,24.41,38.84,21.0,2.0,71.0,69.0,74.0,62.0,87.01,95.18,91.13,99.02,98.93,98.98,90.0,89.0
89,Kazakhstan,15753460.0,Middle,EUR,-6.0,49.58,33.91,29.0,2.0,64.0,59.0,70.0,140.0,99.29,99.76,99.51,99.87,99.82,99.85,90.0,90.0
90,Kenya,40862900.0,Low,AFR,8.0,43.78,42.5,18.0,,53.0,52.0,55.0,560.0,70.23,77.65,73.61,80.71,79.81,80.32,76.0,75.0
91,Kiribati,99547.0,Middle,WPR,,,,,,65.0,63.0,68.0,,,,,,,,98.0,96.0
92,"Korea, Dem. Rep.",,,,-9.0,38.72,,32.0,,66.0,64.0,68.0,370.0,,,,,,,,
93,"Korea, Rep.",,,,8.0,40.81,31.59,36.0,,79.0,75.0,82.0,14.0,,,,,,,93.0,100.0
94,Kuwait,3050744.0,High,EMR,-7.0,25.39,,29.0,,78.0,77.0,79.0,4.0,91.04,94.45,93.27,99.79,99.69,99.73,83.0,84.0
95,Kyrgyzstan,5550239.0,Low,EUR,3.0,,30.31,24.0,2.0,66.0,63.0,70.0,150.0,98.13,99.31,98.7,99.74,99.65,99.7,85.0,86.0
96,Lao People's Democratic Republic,6436093.0,Low,WPR,-7.0,,34.65,20.0,27.0,60.0,59.0,61.0,660.0,60.9,77.01,68.73,74.68,82.6,78.46,81.0,86.0
97,Latvia,2240265.0,High,EUR,8.0,48.67,35.75,40.0,2.0,71.0,65.0,76.0,10.0,99.71,99.79,99.75,99.78,99.72,99.75,92.0,89.0
98,Lebanon,4254583.0,Middle,EMR,7.0,30.38,,27.0,,70.0,68.0,72.0,150.0,,,,,,,82.0,82.0
99,Lesotho,2084182.0,Middle,AFR,8.0,44.49,63.2,19.0,,42.0,40.0,44.0,960.0,90.3,73.7,82.22,,,,74.0,71.0
100,Liberia,4101767.0,Low,AFR,5.0,39.9,,16.0,,44.0,43.0,46.0,1200.0,45.72,58.26,51.94,69.45,65.29,67.36,39.0,40.0
101,Libyan Arab Jamahiriya,6545619.0,Middle,EMR,-7.0,27.12,,25.0,,72.0,70.0,75.0,97.0,74.82,92.84,84.16,96.47,99.54,98.04,91.0,95.0
102,Lithuania,3255324.0,Middle,EUR,10.0,49.17,35.83,38.0,2.0,71.0,65.0,77.0,11.0,99.65,99.64,99.65,99.74,99.66,99.7,89.0,90.0
103,Luxembourg,491772.0,High,EUR,,42.0,30.76,38.0,,80.0,77.0,83.0,12.0,,,,,,,98.0,96.0
104,"Macao, China",,,,9.0,47.16,,,,,,,,37.62,40.83,39.13,42.78,42.61,42.7,,
