,Country,Population,Income_Group,WHO_Region,Democracy_score,Female_labour_force,Inequality_index,Pop_median_age,Pop_below_pov_line,Life_exp_all,Life_exp_male,Life_exp_female,Maternal_mort,Literacy_rate_adult_female,Literacy_rate_adult_male,Literacy_rate_adult_total,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total,females_primary_school,males_primary_school
144,Poland,38038094.0,High,EUR,10.0,45.73,34.91,37.0,2.0,75.0,71.0,80.0,8.0,,,,,,,96.0,96.0
145,Portugal,10732357.0,High,EUR,10.0,46.49,38.45,39.0,,79.0,75.0,82.0,11.0,91.99,95.84,93.83,99.62,99.56,99.59,98.0,98.0
146,Puerto Rico,,,,,41.48,,,,,,,,67.69,67.19,67.45,64.74,64.84,64.79,,
147,Qatar,1508322.0,High,EMR,-10.0,13.72,,31.0,,77.0,77.0,77.0,12.0,88.61,89.1,88.96,97.54,94.89,95.92,94.0,93.0
148,Romania,21190154.0,Middle,EUR,9.0,46.19,31.54,37.0,2.0,73.0,69.0,76.0,24.0,96.27,98.4,97.3,97.78,97.74,97.76,93.0,93.0
149,Russia,,,,7.0,,39.93,37.0,2.0,66.0,60.0,73.0,28.0,99.23,99.69,99.44,99.77,99.68,99.72,91.0,91.0
150,Rwanda,10277212.0,Low,AFR,-3.0,51.17,46.79,18.0,60.3,52.0,51.0,53.0,1300.0,59.76,71.44,64.9,76.87,78.53,77.63,81.0,76.0
151,Saint Kitts and Nevis,52368.0,Middle,AMR,,,,,,71.0,70.0,73.0,,,,,,,,78.0,64.0
152,Saint Lucia,173942.0,Middle,AMR,,,42.58,26.0,,75.0,72.0,78.0,,,,,,,,97.0,99.0
153,Saint Vincent and the Grenadines,109284.0,Middle,AMR,,,,25.0,,70.0,66.0,74.0,,,,,,,,88.0,92.0
154,Samoa,178943.0,Middle,WPR,,31.91,,20.0,,68.0,66.0,70.0,,73.69,74.14,73.93,74.54,74.48,74.51,91.0,90.0
155,San Marino,31537.0,High,EUR,,,,,,82.0,80.0,83.0,,,,,,,,,
156,Sao Tome and Principe,165397.0,Middle,AFR,,29.25,,19.0,,61.0,60.0,63.0,,77.95,92.23,84.91,94.85,95.97,95.42,98.0,97.0
157,Saudi Arabia,26245969.0,High,EMR,-10.0,15.16,,24.0,,70.0,68.0,73.0,18.0,77.7,87.9,82.86,94.68,96.95,95.85,87.0,87.0
158,Senegal,12860717.0,Middle,AFR,8.0,42.5,41.25,19.0,17.0,59.0,57.0,61.0,980.0,29.25,51.05,39.28,40.97,58.49,49.12,70.0,71.0
159,Serbia,9855857.0,Middle,EUR,,,,37.0,,73.0,71.0,76.0,,,,,,,,,
160,Seychelles,84600.0,Middle,AFR,,,,,,72.0,68.0,77.0,,46.13,45.7,45.92,49.69,49.39,49.53,100.0,99.0
